FILING_ID,SCH_I_EIN,SCH_I_PLAN_NUM,SCH_I_PLAN_YEAR_BEGIN_DATE,SCH_I_TAX_PRD,SMALL_TOT_ASSETS_BOY_AMT,SMALL_TOT_LIABILITIES_BOY_AMT,SMALL_NET_ASSETS_BOY_AMT,SMALL_TOT_ASSETS_EOY_AMT,SMALL_TOT_LIABILITIES_EOY_AMT,SMALL_NET_ASSETS_EOY_AMT,SMALL_EMPLR_CONTRIB_INCOME_AMT,SMALL_PARTICIPANT_CONTRIB_AMT,SMALL_OTH_CONTRIB_RCVD_AMT,SMALL_NON_CASH_CONTRIB_BS_AMT,SMALL_OTHER_INCOME_AMT,SMALL_TOT_INCOME_AMT,SMALL_TOT_DISTRIB_BNFT_AMT,SMALL_CORRECTIVE_DISTRIB_AMT,SMALL_DM_DSTRB_PTCP_LN_A,SMALL_OTH_EXPENSES_AMT,SMALL_TOT_EXPENSES_AMT,SMALL_NET_INCOME_AMT,SMALL_TOT_PLAN_TRANSFERS_AMT,SMALL_JOINT_VENTURE_EOY_IND,SMALL_JOINT_VENTURE_EOY_AMT,SMALL_EMPLR_PROP_EOY_IND,SMALL_EMPLR_PROP_EOY_AMT,SMALL_INVST_REAL_EST_EOY_I,SMALL_INVST_REAL_EST_EOY_A,SMALL_EMPLR_SEC_EOY_IND,SMALL_EMPLR_SEC_EOY_AMT,SMALL_MORTG_PARTCP_EOY_IND,SMALL_MORTG_PARTCP_EOY_AMT,SMALL_OTH_LNS_PARTCP_EOY_IND,SMALL_OTH_LNS_PARTCP_EOY_AMT,SMALL_PERSONAL_PROP_EOY_IND,SMALL_PERSONAL_PROP_EOY_AMT,SMALL_FAIL_XMT_CTB_I,SMALL_FAIL_XMT_CTB_A,SMALL_LOANS_IN_DEFAULT_IND,SMALL_LOANS_IN_DEFAULT_AMT,SMALL_LEASES_IN_DEFAULT_IND,SMALL_LEASES_IN_DEFAULT_AMT,SMALL_PT_IN_INT_NOT_RPTD_I,SMALL_PT_IN_INT_NOT_RPTD_A,SMALL_PLAN_INS_FDLTY_BOND_IND,SMALL_PLAN_INS_FDLTY_BOND_AMT,SMALL_LOSS_DISCV_DUR_YEAR_IND,SMALL_LOSS_DISCV_DUR_YEAR_AMT,SMALL_ASSET_UNDETERM_VAL_IND,SMALL_ASSET_UNDETERM_VAL_AMT,SMALL_NON_CASH_CONTRIB_IND,SMALL_NON_CASH_CONTRIB_AMT,SMALL_20_PRCNT_SNGL_INVST_IND,SMALL_20_PRCNT_SNGL_INVST_AMT,SMALL_ALL_PLAN_AST_DISTRIB_IND,WAIVER_ANNUAL_IQPA_REPORT,SMALL_RES_TERM_PLAN_ADPT_IND,SMALL_RES_TERM_PLAN_ADPT_AMT,SMALL_PLAN_TRANSFER_01_NAME,SMALL_PLAN_TRANSFER_01_EIN,SMALL_PLAN_TRANSFER_01_PN,SMALL_PLAN_TRANSFER_02_NAME,SMALL_PLAN_TRANSFER_02_EIN,SMALL_PLAN_TRANSFER_02_PN,SMALL_PLAN_TRANSFER_03_NAME,SMALL_PLAN_TRANSFER_03_EIN,SMALL_PLAN_TRANSFER_03_PN
oracle//Directories/Foia/F_SCH_I_2001.csv:84037098337783,"112424740","001",20010101,20011231,716539,0,716539,1160616,0,1160616,101307,0,0,0,359188,460495,12538,0,0,3880,16418,444077,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",250000,"2",0,"2",0,"2",0,"2",0,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2002.csv:84037202437773,"112424740","001","20020101","20021231",1160616,0,1160616,912988,0,912988,18910,0,0,0,-262695,-243785,0,0,0,3843,3843,-247628,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",200000,"2",0,"2",0,"2",0,"1",309000,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2003.csv:84037184416524,"112424740","001","20030101","20031231",912988,0,912988,1907650,0,1907650,169906,0,0,0,830656,1000562,730,0,0,5170,5900,994662,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",400000,"2",0,"2",0,"2",0,"1",416000,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2003.csv:91037204579524,"112424740","001","20030101","20031231",912988,0,912988,1907650,0,1907650,169997,0,0,0,830565,1000562,730,0,0,5170,5900,994662,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",400000,"2",0,"2",0,"2",0,"1",416000,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2004.csv:84037196109035,"112424740","001","20040101","20041231",1907650,0,1907650,3310334,0,3310334,53895,0,0,0,1354125,1408020,0,0,0,5336,5336,1402684,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",400000,"2",0,"2",0,"2",0,"1",1872000,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2005.csv:84037195194316,"112424740","001","20050101","20051231",3310334,0,3310334,2962804,0,2962804,0,0,0,0,-318806,-318806,23063,0,0,5661,28724,-347530,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",400000,"2",0,"2",0,"2",0,"1",1149500,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2006.csv:84037190370287,"112424740","001","20060101","20061231",2962804,0,2962804,2614997,0,2614997,0,0,0,0,-319530,-319530,22562,0,0,5715,28277,-347807,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",400000,"2",0,"2",0,"2",0,"1",793980,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2007.csv:84037240160568,"112424740","001","20070101","20071231",2614997,0,2614997,3589251,1565,3587686,125000,0,0,0,898206,1023206,42593,0,0,7924,50517,972689,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",400000,"2",0,"2",0,"2",0,"1",1702000,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2008.csv:84037202182319,"112424740","002","20080701","20081231",0,0,0,60067,0,60067,0,63110,0,0,-3043,60067,0,0,0,0,0,60067,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2","1","2",0,,,,,,,,,
oracle//Directories/Foia/F_SCH_I_2008.csv:84037278362529,"112424740","001","20080101","20081231",3589251,1565,3587686,1082352,2339,1080013,175000,0,0,0,-2628235,-2453235,48132,0,0,6306,54438,-2507673,0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"2",0,"1",400000,"2",0,"2",0,"2",0,"1",329000,"2","1","2",0,,,,,,,,,
